Station,StationUniqueId,Id,Type,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,IsManagedByTfL,AskStaff,RadarKey,OpeningHours,OpensWithStation,ClosesWithStation,MonOpening1,MonClosing1,MonOpening2,MonClosing2,TueOpening1,TueClosing1,TueOpening2,TueClosing2,WedOpening1,WedClosing1,WedOpening2,WedClosing2,ThuOpening1,ThuClosing1,ThuOpening2,ThuClosing2,FriOpening1,FriClosing1,FriOpening2,FriClosing2,SatOpening1,SatClosing1,SatOpening2,SatClosing2,SunOpening1,SunClosing1,SunOpening2,SunClosing2,BankHolidayOpening1,BankHolidayClosing1,BankHolidayOpening2,BankHolidayClosing2
,940GZZLUBKE,1,Male,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBKE,2,Female,FALSE,TRUE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBKH,1,Male,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBKH,2,Female,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBOS,1,Male,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBOS,2,Female,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBSC,1,Male,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBSC,2,Female,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBST,1,Male,FALSE,FALSE,TRUE,Located in corridor to platform 5,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUBST,2,Female,FALSE,TRUE,FALSE,Located in Metropolitan line ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCKS,1,Male,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCKS,2,Female,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCPK,1,Male,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCPK,2,Female,FALSE,TRUE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCPK,3,Unisex,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCSM,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCSM,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCWL,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCWL,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCXY,1,Male,FALSE,FALSE,TRUE,Located on platforms 1 & 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUCXY,2,Female,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDBN,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDBN,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDGE,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDGE,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDGY,1,Male,FALSE,FALSE,TRUE,Located on platform,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDGY,2,Female,FALSE,FALSE,TRUE,Located on platform,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDGY,3,Unisex,TRUE,FALSE,TRUE,Located on platform,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDOH,1,Male,FALSE,FALSE,TRUE,Located on platform,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDOH,2,Female,FALSE,TRUE,TRUE,Located on platform,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUDOH,3,Unisex,TRUE,FALSE,TRUE,Located on platform,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUECM,1,Male,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUECM,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUEPG,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUEPG,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUEPG,3,Unisex,TRUE,TRUE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUEPK,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
